21 3 1.1 301
0 1.000000 1.000000 0.000000 1.0000000
1 1.000000 1.000000 0.000000 1.500000
2 1.000000 1.000000 0.000000 1.000000
3 1.000000 1.000000 0.000000 30.000000
4 1.000000 1.000000 0.000000 59.000000
5 1.000000 1.000000 0.000000 3.0000000
6 1.000000 1.000000 0.000000 211.5000000
7 1.000000 1.000000 0.000000 99.000000
8 1.000000 1.000000 0.000000 100.00000
9 1.000000 1.000000 0.000000 101.000000
10 1.000000 1.000000 0.000000 101.50000
11 1.000000 1.000000 0.000000 41.00000
12 1.000000 1.000000 0.000000 43.00000
13 1.000000 1.000000 0.000000 44.00000
14 1.000000 1.000000 0.000000 44.50000
15 1.000000 1.000000 0.000000 45.00000
16 1.000000 1.000000 0.000000 66.00000
17 1.000000 1.000000 0.000000 55.00000
18 1.000000 1.000000 0.000000 100.50000
19 1.000000 1.000000 0.000000 13.00000
20 1.000000 1.000000 0.000000 34.00000
